,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
2,3,137160,4300,67,1,0.0100486469371886,0.0020688518880986,8.70288720299059,0.195934774664133,0.8235885215278927,0.1956942118234993,Ursa Major
3,4,137160,4300,67,2,0.0017402402340092,0.0,2.875547347058847e-16,0.0,10.876046431740091,0.0,Ursa Major
4,5,137160,4300,65,1,0.0031012241730286,0.0015512949031286,-1.008849397290816,0.9413538178255696,1.629754992702177,0.941353832044348,Ursa Major
5,6,137160,4300,65,2,0.0022989898537038,0.0,2.875547347058847e-16,0.0,10.876046431740091,0.0,Ursa Major
6,7,137160,4300,CO,1,-1.6175127845092617e-19,2.212942951655336e-20,1.1308825007835755e-09,1.3196357884723983e-10,0.9999999972285588,8.43733618641117e-10,Ursa Major
7,8,137160,4300,CO,2,0.0,0.0,-1.008849397290816,0.0,1.629754992702177,0.0,Ursa Major
0,1,142210,2325,HI,1,0.8187818935027146,0.0957866137215266,-28.850766010813476,5.007798350759524,36.47009207576901,3.877945432936817,Camelopardalis
1,2,142210,2325,HI,2,14.290680953489646,0.2833589303557479,-3.1260891250803766,0.1100259818728967,8.02541967277781,0.147916726158825,Camelopardalis
2,3,142210,2325,HI,3,19.395987638335647,0.3845629056231583,-1.3307612635600805,0.0333075500766817,1.7447578403969222,0.0427564192261421,Camelopardalis
3,4,142210,2325,67,1,0.0848634287902153,0.0027420904720444,-2.042812761043649,0.031120649513662,0.8203336413568251,0.0301633465285392,Camelopardalis
4,5,142210,2325,67,2,0.002213758786556,0.0,-28.850766010813476,0.0,36.47009207576901,0.0,Camelopardalis
5,6,142210,2325,67,3,0.002213758786556,0.0,-3.1260891250803766,0.0,8.02541967277781,0.0,Camelopardalis
6,7,142210,2325,65,1,0.0436490484283915,0.0024808640570771,-1.9558680423403552,0.0536878810993963,0.7895289490288189,0.050298345878119,Camelopardalis
7,8,142210,2325,65,2,0.0026062769222461,0.0,-28.850766010813476,0.0,36.47009207576901,0.0,Camelopardalis
8,9,142210,2325,65,3,0.0026062769222461,0.0,-3.1260891250803766,0.0,8.02541967277781,0.0,Camelopardalis
9,10,142210,2325,CO,1,2.5048790767581166,0.1312680471310828,-2.169309616876536,0.0430531919794336,0.7110518783544574,0.0430114529285549,Camelopardalis
10,11,142210,2325,CO,2,0.1540825141364689,0.0,-1.9558680423403552,0.0,0.7895289490288189,0.0,Camelopardalis
11,12,142210,2325,CO,3,0.1540825141364689,0.0,-1.9558680423403552,0.0,0.7895289490288189,0.0,Camelopardalis
0,1,143000,3850,HI,1,12.8057579785774,1.8211544925789185,2.0375859406947554,0.1508741268724334,1.3593606585338214,0.2020249541901911,Ursa Major
1,2,143000,3850,HI,2,17.59769507662082,1.61160822887452,4.1127965801086805,0.2764313166310596,3.666836252469904,0.1758582784752699,Ursa Major
2,3,143000,3850,67,1,0.0977413746779372,0.0022964585750784,2.2256705311102087,0.0248159560255096,0.9185261684811796,0.0250299347376541,Ursa Major
3,4,143000,3850,67,2,0.0022833809356919,0.0,2.0375859406947554,0.0,1.3593606585338214,0.0,Ursa Major
4,5,143000,3850,65,1,0.0539614172111099,0.0020374688518736,2.292664179824716,0.0399673374675363,0.9211372139869176,0.0403683661364102,Ursa Major
5,6,143000,3850,65,2,0.0021227792767216,0.0,2.0375859406947554,0.0,1.3593606585338214,0.0,Ursa Major
6,7,143000,3850,CO,1,2.491925626706548,0.1015561373713509,2.3020714602854566,0.0374194884871251,0.795075551002367,0.0374137564284308,Ursa Major
7,8,143000,3850,CO,2,0.1180680069285769,0.0,2.292664179824716,0.0,0.9211372139869176,0.0,Ursa Major
0,1,146070,1775,HI,1,17.38956569574488,0.8829481580871011,-1.9317341301763251,0.2109421758854153,5.902980654912383,0.1689686963411377,Camelopardalis
1,2,146070,1775,HI,2,20.0,0.9762551143084862,0.7432388661281437,0.078731932904381,1.976836875199312,0.105157593421812,Camelopardalis
2,3,146070,1775,67,1,0.2302671864363362,0.0026803975817861,0.4876116673767665,0.0103575560172447,0.7232107680967274,0.0093246496292214,Camelopardalis
3,4,146070,1775,67,2,0.0019165540985013,0.0,-1.9317341301763251,0.0,5.902980654912383,0.0,Camelopardalis
4,5,146070,1775,65,1,0.1691699300394085,0.0023388424273054,0.5912862003013586,0.0123194466804254,0.6870755258399162,0.010226780373307,Camelopardalis
5,6,146070,1775,65,2,0.0022903532562455,0.0,-1.9317341301763251,0.0,5.902980654912383,0.0,Camelopardalis
6,7,146070,1775,CO,1,4.350811790350523,0.1145720079041771,0.2581257663353154,0.0273440479828697,0.8992195391115856,0.0273439542089897,Camelopardalis
7,8,146070,1775,CO,2,0.1394817906878014,0.0,0.5912862003013586,0.0,0.6870755258399162,0.0,Camelopardalis
0,1,146200,3963,HI,1,9.58816798480252,0.8091311613905927,-2.501403573966083,0.3781407337256494,3.0875744961349474,0.413437841324625,Ursa Major
1,2,146200,3963,HI,2,15.57089999482217,1.0437023104657908,5.265058146528022,0.1779998007168787,1.8444895437850404,0.1736704956013676,Ursa Major
2,3,146200,3963,67,1,0.0227171238454403,0.001932534322299,-0.0982588825013511,0.1220117883946944,1.2419087854107085,0.1220104030319114,Ursa Major
3,4,146200,3963,67,2,0.0024674395317864,0.0,-2.501403573966083,0.0,3.0875744961349474,0.0,Ursa Major
4,5,146200,3963,65,1,0.0172952854645288,0.0030767238945004,0.3991052873162971,0.1242990259333923,0.695626712871797,0.1542140092803675,Ursa Major
5,6,146200,3963,65,2,0.0021874930050585,0.0,-2.501403573966083,0.0,3.0875744961349474,0.0,Ursa Major
