,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
9,10,122220,1875,CO,1,2.180063760006624,4531.473308427365,1.9646760065415096,19.727884019582064,0.1920400966722775,139.5307874599467,0.0,0.0,Polaris,F
10,11,122220,1875,CO,2,0.1226166938083374,1.001218474388122,1.9813410414867716,0.5416762521332276,1.1540463331997584,0.3782187082996063,0.0235473217325881,17.1088038428125,Polaris,T
11,12,122220,1875,CO,3,0.1226166938083374,1.425286271073777,1.9813410414867716,0.6834974351833287,1.1540463331997584,0.8584172313962299,0.0235473217325881,17.1088038428125,Polaris,T
0,1,123500,1963,HI,1,18.08910958969984,0.5980236396709095,-12.401713261272793,0.3415248088647341,5.083383317898254,0.3399778358054745,239.0553600000002,4.016654609910775,Polaris,F
1,2,123500,1963,HI,2,25.69726650835279,1.364069416507492,-3.5924019864323755,0.114687418683563,1.9810376548418231,0.1352005537070514,152.0128000000001,2.592739401941947,Polaris,F
2,3,123500,1963,HI,3,19.038646490506984,0.7665186760890782,4.564558802940539,0.1752692358501872,3.071973418313314,0.1922837682632619,141.47840000000014,3.2795847557597377,Polaris,F
3,4,123500,1963,67,1,0.0044472103887397,0.0014276567959078,1.0,2.744661688261334,4.9999999999999565,1.931646935156415,0.1583126751377259,0.0080463266678991,Polaris,F
4,5,123500,1963,67,2,0.0324384363962483,0.0030532560855984,-4.054945486589442,0.1161779745694638,1.3271519498398776,0.1526006573141734,0.1014065198798883,0.0040231633339495,Polaris,F
5,6,123500,1963,67,3,0.0021726050484969,0.7665186760890782,0.925884650947708,0.1752692358501872,0.925884650947708,0.1922837682632619,0.0108630252424844,0.0041967058832344,Polaris,T
6,7,123500,1963,65,1,0.0170946811479345,101650.85388200684,0.3037051383504174,37148.90654575368,0.2203670331904352,296484.1825417949,0.0,0.0,Polaris,F
7,8,123500,1963,65,2,0.0020341866324869,1.364069416507492,1.0,0.114687418683563,4.9999999999999565,0.1352005537070514,0.0004482676731567,603.1041608703475,Polaris,T
8,9,123500,1963,65,3,0.0020341866324869,0.7665186760890782,1.0,0.1752692358501872,4.9999999999999565,0.1922837682632619,0.0004482676731567,603.1041608703475,Polaris,T
9,10,123500,1963,CO,1,0.405408964902075,0.2190616350806944,-5.356203735663807,0.2232740324524883,0.466561832943616,0.2986168799490766,1.0280766435051667,0.0988229247653384,Polaris,F
10,11,123500,1963,CO,2,0.5277461015078373,0.1861182212560624,-4.651606764738442,0.4161655497714655,1.4336184775707692,0.2983197788585686,2.029243794619382,0.0988229247653384,Polaris,F
11,12,123500,1963,CO,3,0.1074721012584722,0.7665186760890782,0.3037051383504174,0.1752692358501872,0.2203670331904352,0.1922837682632619,0.0501423805534547,0.0320929835593762,Polaris,T
0,1,125070,1950,HI,1,8.403220950432402,0.7190058429354066,4.079470507937043,0.1954556152914138,3.46466491394296,0.3081622286450341,143.17696000000012,1.466134550135246,Polaris,F
1,2,125070,1950,HI,2,16.459169494588814,0.2696669612516864,-8.09696274247213,0.3994956489872779,10.082046942006484,0.2846637465885575,419.5110400000004,2.539419531566385,Polaris,F
2,3,125070,1950,67,1,0.1064043005771955,0.0031598001401655,0.6607897272048514,0.0249298041232784,0.6203958461457156,0.0204498113909597,0.1392873561920503,0.0036482901523094,Polaris,F
3,4,125070,1950,67,2,0.0027862367355751,0.2696669612516864,0.9258835308197888,0.3994956489872779,0.9258835308197888,0.2846637465885575,0.0017285696971293,5.697801573307423e-05,Polaris,T
4,5,125070,1950,65,1,0.0595585979281114,0.0030961255116224,0.6861414741170134,0.0477545453696116,0.5555998799155366,0.0320028305049771,0.0546532886374351,0.0020066707309262,Polaris,F
5,6,125070,1950,65,2,0.0021647598317284,0.2696669612516864,0.6607897272048514,0.3994956489872779,0.6203958461457156,0.2846637465885575,0.0012027403025543,6.927844197878951e-05,Polaris,T
6,7,125070,1950,CO,1,1.962674895563032,0.1475450856341788,0.6805571965432258,0.0515344236095911,0.6017428978382372,0.0529060910162693,2.210881878348314,0.1319262730388704,Polaris,F
7,8,125070,1950,CO,2,0.1434727195977438,0.2696669612516864,0.6861414741170134,0.3994956489872779,0.5555998799155366,0.2846637465885575,0.0863336900514792,0.0075905807613899,Polaris,T
0,1,125220,3250,HI,1,36.66261867774129,0.776355156608856,1.152744754032773,0.067798233587914,2.7757500539297952,0.0677939179083902,225.83936000000023,3.4233357976015424,Polaris,F
1,2,125220,3250,67,1,0.1203926049761324,0.0025926073884727,0.0690411474121659,0.0260841754041778,1.0487284695728156,0.0260697245383091,0.2615568853853592,0.0038144191446918,Polaris,F
2,3,125220,3250,65,1,0.0683323999871248,0.0027129820582845,0.2341288551043409,0.0440168001106255,0.961647868395673,0.0441642629501295,0.1399748274078859,0.0036117194836549,Polaris,F
3,4,125220,3250,CO,1,0.8638655760716121,0.1036959404064589,0.3896825774652906,0.1376982369559478,0.9933386729434164,0.1376982249340191,1.8730387868851688,0.1672591891017719,Polaris,F
0,1,125500,2200,HI,1,14.435097342543786,0.3776970379384798,-2.6723249050617737,0.0923634107286498,3.3920448386726387,0.1114430348548871,161.11872000000014,0.4849327009628845,Polaris,F
1,2,125500,2200,HI,2,6.079057890338095,0.2426001997288692,-9.139501291151428,0.5543624987953277,16.8416030640363,0.536626664494079,347.5084800000003,1.070702412791667,Polaris,F
2,3,125500,2200,67,1,0.0162385139390529,0.0031110225009166,-3.18553341656504,0.4768107663844433,2.4745997589757365,0.3344880224916368,0.1904769673936488,0.0054653114068645,Polaris,F
3,4,125500,2200,67,2,0.0563998388219663,0.0043323432240651,-4.709767817142128,0.0550142552960408,0.7396363565248256,0.060018651982944,0.1345186510171688,0.0033468060580576,Polaris,F
4,5,125500,2200,65,1,0.0094689135199421,0.0031818099104637,-3.3443916492847885,0.751493870746519,2.205562219836202,0.5357424399830626,0.0909660585212423,0.0048626131166581,Polaris,F
5,6,125500,2200,65,2,0.029500195810318,0.0045327066481942,-4.582642768876527,0.1036859208761213,-4.582642768876527,0.124891487505272,0.0546437002369231,0.0025991760409953,Polaris,F
6,7,125500,2200,CO,1,2.4370014902244748,0.0951206964240109,-4.804517678119502,0.0388526730940342,0.9110505657650746,0.0430818320570965,4.79079012112999,0.0727014525450736,Polaris,F
7,8,125500,2200,CO,2,0.0395443769974874,0.2426001997288692,-3.3443916492847885,0.5543624987953277,2.205562219836202,0.536626664494079,0.0360269270363883,0.0017036442086082,Polaris,T
0,1,127500,2088,HI,1,24.28544119523863,0.6016010479878524,-2.632000502814798,0.0665707021293372,2.6691353163882785,0.0721928094654974,185.48480000000012,0.3362121739273477,Polaris,F
1,2,127500,2088,HI,2,16.973269177048884,0.2473008938306328,6.196842869840273,0.135649088630669,4.07803569567239,0.123678511218004,196.19968000000011,0.4340480501376031,Polaris,F
2,3,127500,2088,HI,3,11.19702213733679,0.1733587315565951,-13.794739363715696,0.298293549685893,7.50859699242432,0.2690803409364287,250.39360000000025,0.5659294184861163,Polaris,F
3,4,127500,2088,67,1,0.0066354315867813,0.0015984456065277,3.496421771588825,1.8352145099094808,6.693859365204491,1.2832318086311132,0.3116412022782037,0.010739468708186,Polaris,F
4,5,127500,2088,67,2,0.0490942984104144,0.0025177717844385,-1.0984514278913058,0.0901817042464287,1.7378538885548902,0.1108321004862668,0.1971928450777313,0.0052403241478736,Polaris,F
