l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
123500,1963,HI,3,19.038662852734436,0.7665173377771846,4.5645566081172415,0.1752698391478841,3.071973330595616,0.1922842963815301,141.47840000000014,3.2795847557597377,Polaris,F
123500,1963,67,1,0.0081133504815804,0.0020995700231411,5.086275114280275,0.4780772459004521,1.5999661176413973,0.4781838414943313,0.0259290588201586,0.0044980333496479,Polaris,F
123500,1963,67,2,0.0343613145317112,0.002179510494281,-3.964759135436141,0.1087426566015911,1.4847380622396316,0.1087658840539994,0.1132578289113083,0.0044980333496479,Polaris,F
123500,1963,67,3,0.0021726050484969,0.7665173377771846,0.925884650947708,0.1752698391478841,0.925884650947708,0.1922842963815301,0.0034760944646117,0.0010389046281402,Polaris,T
123500,1963,65,1,0.0217458104152951,0.0020438349266289,-3.947260583606351,0.1834314105204277,1.6901845138414446,0.1834314105644239,0.0745899791565529,0.0042164088768489,Polaris,F
123500,1963,65,2,0.0020341866324869,0.5980283044942485,5.086275114280275,0.3415144996348734,1.5999661176413973,0.3399696520987051,0.0034381507444927,0.0003731337233483,Polaris,T
123500,1963,65,3,0.0020341866324869,0.7665173377771846,5.086275114280275,0.1752698391478841,1.5999661176413973,0.1922842963815301,0.0034381507444927,0.0003731337233483,Polaris,T
123500,1963,CO,1,0.527671704760484,0.1861620785385081,-4.6514957542670405,0.4162940110045395,1.4337053087565694,0.2983906688782585,2.029243794619382,0.1711663266461228,Polaris,F
123500,1963,CO,2,0.4054578233709951,0.2190851503096248,-5.356171984405672,0.223257708872389,0.4666810630551232,0.2986365797438176,1.0280766435051667,0.1711663266461228,Polaris,F
123500,1963,CO,3,0.1074721012584722,0.7665173377771846,-3.947260583606351,0.1752698391478841,1.6901845138414446,0.1922842963815301,0.1540833221174952,0.0320686721802674,Polaris,T
143000,3850,HI,1,17.59776066221122,1.6116052149768394,4.112792914661168,0.2764302785867505,3.6668252792314617,0.1758570452144864,185.2492800000002,6.134444629127714,Ursa Major,F
143000,3850,HI,2,12.80571643485003,1.8211544725690936,2.037579766730067,0.1508743030827303,1.3593560481732394,0.2020252063274988,114.20416000000009,4.08962975275181,Ursa Major,F
143000,3850,67,1,0.0977413746743198,0.0027798612529523,2.225670531172653,0.0300396945756043,0.9185261685269358,0.0302987156140951,0.1914083448557289,0.0038599093819097,Ursa Major,F
143000,3850,67,2,0.0024069452289151,1.8211544725690936,0.9258705573859772,0.1508743030827303,0.9258705573859772,0.2020252063274988,0.0022108421789696,7.292734898960287e-05,Ursa Major,T
143000,3850,65,1,0.053961417195206,0.0027789987203678,2.292664180051017,0.0545133140490826,0.9211372144883604,0.0550602960646592,0.1036092269524094,0.0036344291037028,Ursa Major,F
143000,3850,65,2,0.0022636812010639,1.8211544725690936,2.225670531172653,0.1508743030827303,0.9185261685269358,0.2020252063274988,0.0020851609960377,0.0001246389571265,Ursa Major,T
143000,3850,CO,1,2.491925626722661,0.1015561381693426,2.3020714603539605,0.0374194884174374,0.7950755509391385,0.0374137566590415,3.959732391656829,0.1335312381080902,Ursa Major,F
143000,3850,CO,2,0.1185701265255769,1.8211544725690936,2.292664180051017,0.1508743030827303,0.9211372144883604,0.2020252063274988,0.0942722086722464,0.0044361538608597,Ursa Major,T
151500,1925,HI,1,20.0,1.0109642363743874,-0.7468909544912675,0.0891645480646877,1.846438414628033,0.1157683946327535,150.85824000000014,0.991445095017546,Camelopardalis,F
151500,1925,HI,2,13.944733927951852,0.7578555082625246,-1.1223264736794711,0.2791880449774945,8.748630661383865,0.360983406644993,352.31104000000033,2.2716860976552944,Camelopardalis,F
151500,1925,67,1,0.0226602975271425,0.0023304746015111,-1.2353075692497912,0.1541933549083163,1.298627581763354,0.154193043389978,0.0604429305234513,0.0043233690390908,Camelopardalis,F
151500,1925,67,2,0.0023346519991636,0.7578555082625246,0.9259129499042444,0.2791880449774945,0.9259129499042444,0.360983406644993,0.0030318434799328,0.0003599870970075,Camelopardalis,T
151500,1925,65,1,0.0118490747212265,0.0029021577926017,-1.4499243509306463,0.2348089243186714,0.8125718885195758,0.2253246317830778,0.0234155906253771,0.0046538976351169,Camelopardalis,F
151500,1925,65,2,0.0028985180201824,0.7578555082625246,-1.2353075692497912,0.2791880449774945,1.298627581763354,0.360983406644993,0.0023552542615677,0.0006531075056142,Camelopardalis,T
151500,1925,CO,1,1.5139982674572383,0.1242047378763618,-1.399332135692949,0.0664680729437716,0.7021230898770011,0.0665622971817528,2.1390977349333014,0.1514036430733546,Camelopardalis,F
151500,1925,CO,2,0.1344421385820945,0.7578555082625246,-1.4499243509306463,0.2791880449774945,0.8125718885195758,0.360983406644993,0.0943949297509321,0.0089487775820517,Camelopardalis,T
148200,3863,HI,1,8.934363735029864,1.0335691982611266,1.100540243121902,0.4610100521093923,5.912686538134772,0.459923895528491,143.76576000000014,7.664408279138261,Ursa Major,F
148200,3863,HI,2,7.813048145258704,1.25432102051252,-0.9329906470794732,0.2314417338147591,1.5722774194468587,0.3019633087276884,70.94912000000006,4.096798550412718,Ursa Major,F
148200,3863,67,1,0.047720287188801,0.0024169541562052,-1.8278053344556289,0.0706027230830379,1.2071303581490478,0.0706017516164473,0.1292980845657149,0.0046063396253447,Ursa Major,F
